product_id,product_name,price,cogs
P1,Message Book Wirebound ,8.23,5.45
P2,Avery 508,3.93,2.5
P3,SAFCO Boltless Steel Shel,90.91,112.5
P4,GBC Standard Plastic Bind,1.77,4.52
P5,Avery Hi-Liter EverBold P,6.51,4.89
P6,Xerox 225,6.48,3.37
P7,Dixon Prang Watercolor Pe,4.26,2.51
P8,Global Deluxe High-Back M,285.98,203.05
P9,Ibico Hi-Tech Manual Bind,304.99,167.75
P10,Rogers Handheld Barrel Pe,2.74,2
P11,GE 30524EE4,195.99,139.16
P12,Wireless Extenders zBoost,188.99,137.96
P13,Alliance Super-Size Bands,7.78,7.7
P14,Southworth 25% Cotton Gra,6.54,3.53
P15,Howard Miller 14-1/2 Dia,25.58,43.48
P16,Acco Four Pocket Poly Rin,1.49,4.1
P17,Newell 312,4.67,4.09
P18,Memorex Micro Travel Driv,10.4,7.15
P19,Avery 482,2.89,1.53
P20,Howard Miller 11-1/2 Dia,51.94,30.64
P21,DAX Value U-Channel Docum,4.97,3.43
P22,Staple envelope,5.68,3.01
P23,Brown Kraft Recycled Enve,16.98,8.49
P24,Plantronics S12 Corded Te,107.79,64.67
P25,3-ring staple pack,1.88,0.98
P26,Fellowes Stor/Drawer Stee,95.43,89.71
P27,Global Highback Leather T,90.99,76.43
P28,Tennsco 6- and 18-Compart,265.17,217.44
P29,O Sullivan Elevations Boo,111.33,110.02
P30,4009 Highlighters by Sanf,3.98,2.67
P31,Xerox 1923,5.34,3.47
P32,Avery Metallic Poly Binde,1.72,2.98
P33,Sauder Cornerstone Collec,15.49,28.81
P34,Logitech 910-002974 M325 ,29.99,16.79
P35,DAX Black Cherry Wood-Ton,21.18,16.42
P36,AT&T 841000 Phone,41.4,51.75
P37,GBC Linen Binding Covers,9.3,16.11
P38,Round Specialty Laser Pri,10.02,6.64
P39,Fellowes Mighty 8 Compact,16.22,14.59
P40,GBC Standard Recycled Rep,3.23,5.61
P41,TOPS Carbonless Receipt B,14.02,9.11
P42,Tyvek  Top-Opening Peel &,21.74,14.41
P43,O Sullivan 4-Shelf Bookca,36.29,100.41
P44,Apple iPhone 5C,99.99,73.99
P45,Newell 351,3.28,2.33
P46,Eldon Expressions Desk Ac,9.65,6.76
P47,Newell 327,2.21,1.61
P48,Hon 4700 Series Mobuis Mi,355.98,281.22
P49,Wirebound Service Call Bo,9.68,5.04
P50,Eldon Fold  N Roll Cart S,13.98,9.93
P51,Eldon ClusterMat Chair Ma,90.98,80.97
P52,Acco Pressboard Covers wi,3.81,2.02
P53,Holmes Replacement Filter,61.93,38.54
P54,Fellowes Bases and Tops F,33.29,25.3
P55,Panasonic KP-4ABK Battery,14.64,10.39
P56,Ultra Door Push Plate,4.91,3.29
P57,Storex Dura Pro Binders,5.94,3.27
P58,GBC DocuBind TL200 Manual,67.19,118.71
P59,Ultra Door Pull Handle,8.42,7.05
P60,Xerox 195,6.68,3.47
P61,Alliance Big Bands Rubber,1.98,1.98
P62,GE General Use Halogen Bu,20.94,10.68
P63,SAFCO Commercial Wire She,61.24,61.24
P64,Eureka Recycled Copy Pape,6.48,3.37
P65,REDIFORM Incoming/Outgoin,8.34,4.17
P66,Macally Suction Cup Mount,11.95,11.95
P67,Eldon Image Series Black ,4.14,2.65
P68,Jabra SPEAK 410,93.99,67.68
P69,Wilson Jones 14 Line Acry,5.34,2.83
P70,Safco Value Mate Series S,70.98,51.11
P71,Recycled Steel Personal F,57.23,42.92
P72,Balt Split Level Computer,111,116.55
P73,Dixon Ticonderoga Core-Lo,9.11,6.1
P74,Pressboard Covers with St,3.93,2.6
P75,Xerox 1972,5.28,2.91
P76,Space Solutions HD Indust,114.97,111.52
P77,Sauder Facets Collection ,145.34,143.63
P78,Enermax Aurora Lite Keybo,78.15,43.76
P79,Staples,2.47,1.31
P80,Surelock Post Binders,9.17,15.28
P81,AT&T 17929 Lendline Telep,36.19,33.48
P82,Ibico Laser Imprintable B,41.92,28.3
P83,Avery Durable Poly Binder,4.42,2.99
P84,GBC Recycled Grain Textur,27.63,17.96
P85,Message Book Standard Li,8.56,4.54
P86,Avery 480,3.75,1.95
P87,Aastra 57i VoIP phone,161.61,119.59
P88,AT&T CL82213,28.99,20.58
P89,Avery Flip-Chart Easel Bi,4.48,11.86
P90,Maxell DVD-RAM Discs,16.48,9.39
P91,Acco Perma 4000 Stacking ,16.24,13.81
P92,Master Caster Door Stop ,7.28,4.52
P93,Hon 2111 Invitation Serie,209.37,196.81
P94,Wilson Jones Leather-Like,8.73,4.63
P95,Global Value Mid-Back Man,60.89,45.67
P96,Avery 483,4.98,2.69
P97,Wilson Jones Turn Tabs Bi,4.82,2.61
P98,Rubbermaid ClusterMat Cha,110.98,93.22
P99,VariCap6 Expandable Binde,17.3,9.17
P100,Fellowes Neat Ideas Stora,32.48,31.18
P101,Global Geo Office Task Ch,64.79,76.93
P102,Memo Book 100 Message Ca,5.39,3.37
P103,Logitech G600 MMO Gaming ,79.99,51.19
P104,Belkin 8 Outlet Surge Pro,40.98,29.51
P105,Compact Automatic Electri,119.31,116.93
P106,Pressboard Data Binders b,4.27,2.83
P107,Wilson Jones Easy Flow II,0.36,0.94
P108,Holmes Cool Mist Humidifi,3.98,10.95
P109,Staples in misc. colors,3.87,3.24
P110,DAX Copper Panel Document,5.03,7.3
P111,Akro Stacking Bins,6.31,7.57
P112,Enermax Briskie RF Wirele,20.77,13.29
P113,Master Caster Door Stop ,5.08,3.35
P114,Xerox 204,6.48,3.37
P115,Xerox 220,6.48,3.37
P116,Staple-on labels,2.31,1.53
P117,GBC Plastic Binding Combs,1.48,3.76
P118,TOPS 4 x 6 Fluorescent Co,7.59,5.03
P119,Zebra Zazzle Fluorescent ,4.87,4.02
P120,Sannysis Cute Owl Design ,1.98,1.45
P121,Novimex Swivel Fabric Tas,105.69,134.37
P122,Black Print Carbonless 8 ,5.82,3.93
P123,Plymouth Boxed Rubber Ban,3.77,4.47
P124,Harbour Creations Steel F,60.38,60.38
P125,Fellowes Bankers Box Recy,43.18,50.74
P126,Bevis Round Conference Ro,125.5,139.85
P127,Array Parchment Paper As,7.28,3.79
P128,Xerox 1971,3.42,2.35
P129,Hypercom P1300 Pinpad,50.4,39.69
P130,PowerGen Dual USB Car Cha,9.99,5.39
P131,Cardinal HOLDit! Binder I,5.06,3.23
P132,Avery 495,5.04,3.4
P133,Eldon Shelf Savers Cubes ,5.58,6.84
P134,3.6 Cubic Foot Counter He,58.92,212.13
P135,Bevis Oval Conference Tab,208.78,216.61
P136,Sensible Storage WireTech,70.98,67.43
P137,BIC Brite Liner Highlight,5.18,4.41
P138,Newell 345,19.84,14.68
P139,Logitech Wireless Gaming ,159.99,100.79
P140,Acme Forged Steel Scissor,9.31,6.61
P141,GBC Wire Binding Combs,8.27,5.48
P142,Xerox 1891,48.91,25.92
P143,Global Push Button Manage,48.71,43.23
P144,Newell 330,5.98,4.43
P145,Carina 42Hx23 3/4W Medi,80.98,79.36
P146,Catalog Binders with Expa,53.83,37.01
P147,Newell Chalk Holder,4.13,2.23
P148,Contico 72H Heavy-Duty S,40.98,40.98
P149,Office Star - Task Chair ,72.78,69.14
P150,Global Leather and Oak Ex,240.79,213.7
P151,Geographics Note Cards B,11.19,5.82
P152,BOSTON Ranger #55 Pencil ,20.79,18.45
P153,Eldon Wave Desk Accessori,1.66,1.21
P154,Stockwell Push Pins,1.74,1.46
P155,Southworth 100% R‚Äö√†√∂¬,7.78,4.28
P156,Fellowes Premier Superior,48.92,36.2
P157,Panasonic KX-TG9471B,195.99,141.11
P158,Xerox 198,4.98,2.64
P159,Economy #2 Pencils,2.66,1.97
P160,Avery Hi-Liter Fluorescen,3.38,2.13
P161,Global Commerce Series Hi,284.98,213.74
P162,Carina Double Wide Media ,80.98,77.74
P163,Imation¬¨¬®‚Äö√Ñ‚Ä†30456 ,6.9,6.35
P164,Staple magnet,10.68,7.8
P165,Premium Transparent Prese,31.03,20.94
P166,Hewlett-Packard Deskjet 6,287.46,209.43
P167,Xerox 1963,4.23,2.91
P168,Xerox 1887,15.18,9.87
P169,Hot File 7-Pocket Floor ,142.78,124.93
P170,Eldon Expressions Desk Ac,15.23,13.52
P171,Insertable Tab Post Binde,2.41,4.25
P172,GBC VeloBinder Manual Bin,10.8,18.72
P173,Xerox 1889,43.97,28.03
P174,Polycom VoiceStation 500 ,235.96,221.21
P175,Bionaire Personal Warm Mi,46.89,28.61
P176,Newell 35,3.28,2.33
P177,Avery Non-Stick Heavy Dut,5.98,3.11
P178,Bretford Rectangular Conf,225.68,289.62
P179,Balt Solid Wood Round Tab,267.9,406.31
P180,Hon 30 x 60 Table with ,204.64,245.56
P181,Xerox 1926,4.98,2.64
P182,Xerox 1918,38.76,19.77
P183,Newell 333,2.23,2.06
P184,Xerox 1966,5.18,3.3
P185,Xerox 1967,5.18,3.37
P186,GBC Twin Loop Wire Bindin,15.22,7.76
P187,Xerox 1957,6.48,3.31
P188,EcoTones Memo Sheets,4,2.08
P189,Belkin 6 Outlet Metallic ,10.89,8.06
P190,Xerox 1909,21.1,14.25
P191,Cisco TelePresence System,3773.08,4074.93
P192,Avery Fluorescent Highlig,2.67,2.34
P193,Executive Impressions 13,15.39,11.35
P194,Dana Fluorescent Magnifyi,40.78,35.69
P195,Bush Heritage Pine Collec,119.83,112.78
P196,Eldon Cleatmat Chair Mats,55.5,48.29
P197,Swingline SM12-08 MicroCu,319.99,216
P198,Cisco 8x8 Inc. 6753i IP B,107.99,98.54
P199,Avery 501,2.95,1.96
P200,Crate-A-Files,8.72,8.07
P201,Document Clip Frames,6.67,4.84
P202,Logitech¬¨¬®‚Äö√Ñ‚Ä†Wirel,85.12,58.52
P203,Binney & Smith Crayola Me,3.71,3.11
P204,Binney & Smith inkTank Er,2.02,1.49
P205,Tennsco Commercial Shelvi,16.27,20.13
P206,Samsung Galaxy S4 Active,499.99,369.99
P207,Avery 492,2.88,1.56
P208,Xerox 1919,40.99,20.9
P209,American Pencil,2.33,1.66
P210,Wilson Jones Ledger-Size,40.98,21.31
P211,Avery 505,11.84,7.4
P212,DAX Wood Document Frame,10.98,8.79
P213,C-Line Peel & Stick Add-O,1.91,3.38
P214,GBC Prestige Therm-A-Bind,10.29,18.19
P215,Xerox 1951,24.78,17.04
P216,Office Star - Mesh Screen,104.78,116.57
P217,Economy Rollaway Files,165.2,122.25
P218,Ooma Telo VoIP Home Phone,100.79,94.49
P219,Avery 476,3.3,2.23
P220,Xerox 190,4.98,2.64
P221,DAX Contemporary Wood Fra,20.24,12.96
P222,Iceberg Nesting Folding C,52.4,43.08
P223,Eberhard Faber 3 1/2 Gol,7.44,5.58
P224,Imation¬¨¬®‚Äö√Ñ‚Ä†Swivel,11.37,7.39
P225,BIC Brite Liner Grip High,4.24,2.59
P226,SanDisk Ultra 32 GB Micro,22.1,19.23
P227,Newell 308,1.68,1.26
P228,Griffin GC17055 Auxiliary,14.39,12.95
P229,Smead Alpha-Z Color-Coded,3.75,1.95
P230,Poly String Tie Envelopes,2.04,1.08
P231,Hon 94000 Series Round Ta,296.18,269.53
P232,AT&T TR1909W,100.79,93.23
P233,Chromcraft Bull-Nose Wood,330.59,473.84
P234,Bush Advantage Collection,296.95,347.85
P235,Peel-Off China Markers,9.93,5.76
P236,Sterilite Show Offs Stora,5.28,5.28
P237,Avery 490,14.8,7.4
P238,Sanford EarthWrite Recycl,2.1,1.51
P239,O Sullivan Living Dimensi,102.84,108.89
P240,Airmail Envelopes,67.14,44.48
P241,Innergie mMini Combo Duo ,35.99,23.39
P242,Global Stack Chair withou,18.19,19.48
P243,Space Solutions Commercia,64.65,61.42
P244,GBC DocuBind 200 Manual B,336.79,210.49
P245,Fellowes Advanced Compute,26.49,19.08
P246,Avery Round Ring Poly Bin,0.85,1.45
P247,Fellowes Black Plastic Co,1.16,3.14
P248,Kensington SlimBlade Note,39.99,32.99
P249,Avery Hole Reinforcements,1.87,3.18
P250,Global Leather Highback E,160.78,146.72
P251,Ibico Plastic and Wire Sp,2.53,4.55
P252,Pressboard Data Binder C,4.27,2.89
P253,Rogers Profile Extra Capa,16.74,16.07
P254,Zipper Ring Binder Pocket,3.12,1.59
P255,Xerox 1990,5.28,2.9
P256,Motorola Droid Maxx,149.99,107.99
P257,Euro-Pro Shark Turbo Vacu,30.98,22.93
P258,Xerox 1898,5.34,3.47
P259,Xerox 1947,4.78,3.29
P260,Luxo Adjustable Task Clam,88.84,65.74
P261,Avery 518,3.15,1.64
P262,Advantus Panel Wall Acryl,5.47,3.12
P263,Newell 319,19.84,13.89
P264,Avery Non-Stick Binders,3.59,2.47
P265,Safco Commercial Shelving,46.51,44.65
P266,Logitech Wireless Maratho,49.99,28.5
P267,Xerox 209,6.48,3.37
P268,Eaton Premium Continuous-,55.48,28.85
P269,Crayola Colored Pencils,3.28,2.2
P270,Newell 321,3.28,2.33
P271,Martin Yale Chadless Open,832.81,816.15
P272,Tenex File Box Personal ,12.41,11.48
P273,Adjustable Personal File ,13.03,12.05
P274,Stanley Contemporary Batt,13.35,9.61
P275,Fellowes Twister Kit Gra,8.04,4.42
P276,Ibico Standard Transparen,16.48,8.4
P277,Large Capacity Hanging Po,7.49,13.47
P278,Martin-Yale Premier Lette,10.3,12.49
P279,KI Adjustable-Height Tabl,51.59,63.62
P280,Imation¬¨¬®‚Äö√Ñ‚Ä†Secure,58.39,47.44
P281,Chromcraft Bull-Nose Wood,217.85,180.82
P282,Kingston Digital DataTrav,16.95,15.94
P283,Tenex B1-RE Series Chair ,45.98,38.17
P284,C-Line Cubicle Keepers Po,4.73,2.89
P285,Xerox 211,6.48,3.37
P286,Xerox 194,55.48,28.85
P287,Boston Home & Office Mode,23.65,17.5
P288,Avery Trapezoid Ring Bind,32.79,20.9
P289,Razer Kraken 7.1 Surround,99.99,55.99
P290,Stacking Tray Side-Loadi,4.48,3.09
P291,Xerox 1945,40.99,20.9
P292,Xerox 226,6.48,3.37
P293,RCA Visys Integrated PBX ,66.99,50.24
P294,Binder Clips by OIC,1.19,0.77
P295,Things To Do Today Spiral,6.34,4.04
P296,SAFCO PlanMaster Boards ,151.99,112.47
P297,Bevis 36 x 72 Conference ,99.59,97.1
P298,Logitech Wireless Headset,99.99,64.99
P299,Riverside Furniture Stanw,172.11,266.77
P300,Acco Banker s Clasps 5 3,2.3,1.53
P301,Xerox 224,5.19,3.37
P302,Logitech Wireless Anywher,47.99,41.99
P303,GBC Personal VeloBind Str,9.58,6.23
P304,Jawbone JAMBOX Wireless B,126.39,82.16
P305,Eldon Simplefile Box Offi,12.44,8.96
P306,AT&T SB67148 SynJ,52.79,48.17
P307,Memorex Mini Travel Drive,36.24,21.02
P308,Pyle PMP37LED,76.79,70.07
P309,AT&T 1080 Corded phone,109.59,100
P310,Recycled Pressboard Repor,2.58,1.65
P311,Xerox 213,6.48,3.37
P312,Prismacolor Color Pencil ,19.84,11.71
P313,Newell 314,4.47,4.19
P314,Fellowes PB200 Plastic Co,51,91.8
P315,Square Credit Card Reader,5.99,5.3
P316,Avery 479,2.61,1.41
P317,Belkin F9G930V10-GRY 9 Ou,53.48,37.97
P318,Howard Miller 13 Diamete,46.94,27.7
P319,Ativa MDM8000 8-Sheet Mic,71.99,47.7
P320,Binney & Smith inkTank De,2.15,1.44
P321,Advantus Push Pins Alumi,5.81,4.01
P322,Prang Dustless Chalk Stic,1.35,0.84
P323,DMI Arturo Collection Mis,105.69,111.73
P324,Cameo Buff Policy Envelop,49.78,32.98
P325,Kensington Expert Mouse O,75.99,66.49
P326,Executive Impressions 13,25.38,16.5
P327,GBC Durable Plastic Cover,19.35,10.45
P328,Xerox 232,6.48,3.37
P329,Bush Advantage Collection,148.82,167.95
P330,Personal Folder Holder E,8.97,7.85
P331,GE 4 Foot Flourescent Tub,14.98,8.09
P332,ACCOHIDE Binder by Acco,3.3,2.19
P333,SAFCO Commercial Wire She,138.14,138.14
P334,ACCOHIDE 3-Ring Binder B,3.3,2.19
P335,Wilson Jones Suede Grain ,0.83,1.42
P336,G.E. Halogen Desk Lamp Bu,5.59,3.63
P337,Xerox 1985,5.19,3.37
P338,12 Colored Short Pencils,2.08,1.9
P339,AT&T CL2909,100.79,88.19
P340,Tenex Traditional Chairma,60.65,47.91
P341,Kensington 6 Outlet Maste,90.24,64.07
P342,GuestStacker Chair with C,297.41,267.67
P343,Bevis Steel Folding Chair,76.76,69.08
P344,Acco Pressboard Covers wi,3.05,2.1
P345,Newell 347,4.28,3.04
P346,Acco Data Flex Cable Post,10.43,5.74
P347,Recycled Steel Personal F,55.29,40.91
P348,Blackstonian Pencils,2.67,1.92
P349,Avery 488,3.15,1.64
P350,Avery File Folder Labels,2.3,1.47
P351,X-Rack File for Hanging F,9.03,8.36
P352,Carina Mini System Audio ,88.79,107.65
P353,Samsung Galaxy Mega 6.3,335.99,310.79
P354,Dax Clear Box Frame,8.73,5.76
P355,Global Leather Executive ,280.79,245.69
P356,2300 Heavy-Duty Transfer ,19.98,20.23
P357,Square Credit Card Reader,9.99,7.4
P358,Maxell 4.7GB DVD-RW 3/Pac,15.93,10.51
P359,Hunt Boston Vacuum Mount ,34.99,25.89
P360,Brother DCP1000 Digital 3,239.99,194.99
P361,Avery 481,3.08,1.6
P362,GBC Poly Designer Binding,13.39,8.54
P363,Avery Durable Plastic 1 ,3.63,2.32
P364,Fellowes Binding Cases,11.7,6.44
P365,OIC Thumb-Tacks,0.91,0.6
P366,Eldon Regeneration Recycl,1.74,1.18
P367,Holmes Odor Grabber,14.42,9.66
P368,Adams While You Were Out,3.14,1.73
P369,Newell 350,3.28,2.33
P370,Xerox 1933,12.28,6.51
P371,Eldon Portable Mobile Man,22.63,20.65
P372,Easy-staple paper,35.44,18.78
P373,Wilson Jones Legal Size R,17.59,11
P374,Model L Table or Wall-Mou,17.99,12.95
P375,Acco PRESSTEX Data Binder,5.38,2.74
P376,Newell 335,2.88,2.04
P377,Lifetime Advantage Foldin,218.08,157.02
P378,Hewlett Packard LaserJet ,359.99,311.99
P379,Sony Micro Vault Click 16,55.99,42.55
P380,Fellowes Super Stor/Drawe,27.75,22.75
P381,Avery 506,4.13,2.23
P382,Weyerhaeuser First Choice,6.48,3.37
P383,Strathmore #10 Envelopes,52.71,26.88
P384,LF Elite 3D Dazzle Design,8.72,7.85
P385,Bestar Classic Bookcase,50,80.99
P386,DIXON Ticonderoga Erasabl,4.46,3.4
P387,Southworth 25% Cotton Pre,19.98,10.39
P388,Wilson Electronics DB Pro,286.4,261.34
P389,Acme Design Stainless Ste,6.84,4.99
P390,Hon Pagoda Stacking Chair,256.78,224.68
P391,SanDisk Cruzer 64 GB USB ,29.06,25.43
P392,Xblue XB-1670-86 X16 Smal,100.79,94.49
P393,Deflect-o EconoMat Studde,16.53,37.6
P394,Logitech ClearChat Comfor,23.43,19.62
P395,Staple holder,11.97,8.74
P396,Hon Multipurpose Stacking,151.62,160.28
P397,Avery Arch Ring Binders,11.62,30.79
P398,Bevis Traditional Confere,233.35,276.69
P399,GBC DocuBind P100 Manual ,49.79,91.29
P400,Plantronics Audio 478 Ste,49.99,32.49
P401,Electrix Halogen Magnifie,155.44,143.78
P402,Imation¬¨¬®‚Äö√Ñ‚Ä†Clip U,18.8,17.67
P403,Apple iPhone 5,389.9,474.38
P404,Deflect-o Glass Clear Stu,49.74,48.5
P405,Xerox 1949,3.99,2.54
P406,Avery Heavy-Duty EZD View,6.38,3.45
P407,Acco 6 Outlet Guardian Ba,8.32,5.99
P408,Sanford Colorific Scented,4.28,2.95
P409,24-Hour Round Wall Clock,19.98,11.39
P410,Contemporary Borderless F,3.44,5.42
P411,SanDisk Ultra 16 GB Micro,10.39,12.21
P412,Fellowes PB300 Plastic Co,387.99,205.63
P413,Plantronics Voyager Pro L,205.99,148.31
P414,GBC ProClick Punch Bindin,63.98,32.63
P415,Xerox 1992,5.98,3.05
P416,Global Deluxe Steno Chair,53.89,68.51
P417,Adams Telephone Message B,4.83,3.2
P418,Ibico Plastic Spiral Bind,6.08,16.42
P419,Nortel Networks T7316 E N,67.99,50.99
P420,Plantronics Encore H101 D,44.95,32.36
P421,Angle-D Ring Binders,1.64,2.96
P422,Newell 317,2.35,2.09
P423,Motorola L804,27.6,32.66
P424,Xerox 1999,6.48,3.37
P425,Letter Slitter,2.52,2.45
P426,1.7 Cubic Foot Compact C,208.16,151.96
P427,Xerox 1944,38.76,19.77
P428,Harmony Air Purifier,37.8,120.96
P429,Electrix Incandescent Mag,14.66,26.76
P430,Strathmore Photo Frame Ca,7.31,3.95
P431,Sauder Inglewood Library ,145.34,131.66
P432,VTech DS6151,100.79,90.71
P433,netTALK DUO VoIP Telephon,41.99,26.25
P434,Hon Olson Stacker Stools,112.65,101.39
P435,SAFCO Mobile Desk Side Fi,34.21,31.64
P436,Global Commerce Series Lo,179.89,182.46
P437,KI Conference Tables,56.71,59.55
P438,Fellowes Officeware Wire ,89.83,88.03
P439,Plantronics HL10 Handset ,92.79,82.35
P440,Logitech Wireless Perform,99.99,61.99
P441,Fellowes Presentation Cov,2.91,8
P442,I Need s 3d Hello Kitty H,9.57,8.61
P443,Green Canvas Binder for 8,34.24,21.4
P444,Ampad Poly Cover Wireboun,4.54,2.5
P445,Chromcraft Rectangular Co,118.49,180.1
P446,GBC Pre-Punched Binding P,12.79,8.32
P447,Geemarc AmpliPOWER60,92.8,65.89
P448,Honeywell Quietcare HEPA ,78.65,52.7
P449,Xerox 1948,9.99,5.5
P450,Samsung Galaxy Note 3,219.99,153.99
P451,Grandstream GXP1160 VoIP ,37.91,26.92
P452,Safco Steel Mobile File C,83.36,62.52
P453,Adams Telephone Message B,7.98,3.99
P454,Honeywell Enviracaire Por,300.65,201.44
P455,Xerox 205,6.48,3.37
P456,GBC Clear Cover 8-1/2 x ,15.16,8.19
P457,Boston Heavy-Duty Trimlin,48.2,34.22
P458,3M Hangers With Command A,3.7,2.18
P459,Adtran 1202752G1,125.99,93.23
P460,Wilson Jones Heavy-Duty C,34.64,18.01
P461,Acco 6 Outlet Guardian Pr,13.1,10.63
P462,GBC Standard Therm-A-Bind,19.94,13.46
P463,Aluminum Document Frame,12.22,8.55
P464,Mophie Juice Pack Helium ,79.99,57.59
P465,Security-Tint Envelopes,7.64,3.9
P466,Avery 513,3.99,2.69
P467,Contract Clock 14 Brow,8.79,14.51
P468,Seth Thomas 14 Day/Date ,28.48,17.94
P469,Commercial WindTunnel Cle,3.89,2.88
P470,O Sullivan Living Dimensi,176.79,198.89
P471,Sanford Liquid Accent Hig,6.68,4.21
P472,Wilson Jones Century Plas,16.62,11.01
P473,Acme Office Executive Ser,8.57,6.34
