return_id,order_id
1-101,1
3-102,3
5-103,5
6-104,6
7-105,7
10-106,10
13-107,13
16-108,16
17-109,17
18-110,18
19-111,19
23-112,23
24-113,24
26-114,26
29-115,29
33-116,33
35-117,35
36-118,36
37-119,37
39-120,39
40-121,40
42-122,42
46-123,46
51-124,51
54-125,54
55-126,55
56-127,56
57-128,57
65-129,65
66-130,66
67-131,67
68-132,68
70-133,70
71-134,71
72-135,72
76-136,76
78-137,78
81-138,81
84-139,84
89-140,89
90-141,90
91-142,91
93-143,93
95-144,95
97-145,97
98-146,98
99-147,99
101-148,101
102-149,102
103-150,103
105-151,105
106-152,106
109-153,109
110-154,110
112-155,112
115-156,115
117-157,117
118-158,118
119-159,119
121-160,121
122-161,122
124-162,124
125-163,125
126-164,126
130-165,130
133-166,133
139-167,139
161-168,161
162-169,162
165-170,165
172-171,172
174-172,174
178-173,178
180-174,180
186-175,186
188-176,188
190-177,190
192-178,192
194-179,194
195-180,195
196-181,196
199-182,199
202-183,202
203-184,203
205-185,205
206-186,206
207-187,207
208-188,208
212-189,212
213-190,213
215-191,215
216-192,216
217-193,217
222-194,222
224-195,224
229-196,229
239-197,239
240-198,240
242-199,242
243-200,243
244-201,244
246-202,246
247-203,247
250-204,250
255-205,255
258-206,258
263-207,263
266-208,266
268-209,268
269-210,269
271-211,271
272-212,272
275-213,275
280-214,280
290-215,290
292-216,292
293-217,293
295-218,295
296-219,296
297-220,297
299-221,299
302-222,302
304-223,304
306-224,306
308-225,308
309-226,309
315-227,315
316-228,316
317-229,317
318-230,318
320-231,320
324-232,324
325-233,325
328-234,328
329-235,329
331-236,331
334-237,334
335-238,335
336-239,336
339-240,339
340-241,340
341-242,341
343-243,343
344-244,344
346-245,346
347-246,347
350-247,350
353-248,353
355-249,355
359-250,359
363-251,363
369-252,369
370-253,370
374-254,374
377-255,377
380-256,380
381-257,381
389-258,389
394-259,394
396-260,396
397-261,397
400-262,400
403-263,403
407-264,407
408-265,408
409-266,409
410-267,410
411-268,411
413-269,413
416-270,416
420-271,420
421-272,421
422-273,422
426-274,426
427-275,427
429-276,429
439-277,439
441-278,441
442-279,442
443-280,443
445-281,445
446-282,446
449-283,449
450-284,450
452-285,452
455-286,455
457-287,457
458-288,458
459-289,459
460-290,460
465-291,465
467-292,467
473-293,473
475-294,475
476-295,476
477-296,477
478-297,478
479-298,479
486-299,486
487-300,487
492-301,492
499-302,499
500-303,500
502-304,502
503-305,503
506-306,506
510-307,510
511-308,511
512-309,512
513-310,513
520-311,520
523-312,523
525-313,525
527-314,527
529-315,529
531-316,531
532-317,532
533-318,533
534-319,534
535-320,535
537-321,537
538-322,538
540-323,540
542-324,542
544-325,544
551-326,551
553-327,553
555-328,555
556-329,556
557-330,557
561-331,561
563-332,563
564-333,564
565-334,565
566-335,566
570-336,570
572-337,572
577-338,577
578-339,578
579-340,579
582-341,582
588-342,588
589-343,589
590-344,590
593-345,593
594-346,594
599-347,599
600-348,600
604-349,604
607-350,607
609-351,609
610-352,610
612-353,612
613-354,613
614-355,614
615-356,615
616-357,616
617-358,617
620-359,620
626-360,626
630-361,630
643-362,643
647-363,647
648-364,648
653-365,653
656-366,656
657-367,657
664-368,664
668-369,668
672-370,672
673-371,673
675-372,675
677-373,677
678-374,678
682-375,682
684-376,684
685-377,685
688-378,688
689-379,689
690-380,690
691-381,691
692-382,692
695-383,695
696-384,696
701-385,701
702-386,702
706-387,706
708-388,708
714-389,714
718-390,718
719-391,719
726-392,726
727-393,727
728-394,728
730-395,730
736-396,736
737-397,737